nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-16001;Maya Kusuma;P;23/03/1969;Private
N-16002;Putri Saputra;Wanita;13/12/1986;Reguler
N-16003;Putri Kusuma;;31/02/1999;
N-16004;Wawan Wijaya;M;20/01/1971;Reguler
N-16005;Joko Setiawan;;09/12/1969;Prioritas
N-16006;Oki Pratama;L;31/02/1999;Private
N-16007;Lutfi Santoso;Laki-laki;12/02/1971;Prioritas
N-16008;Budi Maharani;Laki-laki;;Prioritas
N-16009;Citra Hidayat;Laki-laki;03/01/1966;Private
N-16010;Rizal Kusuma;Wanita;04/07/1976;prio
N-16011;Rizal Setiawan;P;10/10/1975;Private
N-16012;Kartika Pratama;Pria;29/12/1971;RETAIL
N-16013;Fajar Wijaya;M;28/03/1975;Reguler
N-16014;Tono Utami;;31/02/1999;
N-16015;Maya Saputra;M;09/11/1966;
N-16016;Dewi Lestari;Female;11/10/1978;Private
N-16017;Rizal Hakim;L;26/06/1990;RETAIL
N-16018;Maya Saputra;Pria;28/09/1968;prio
N-16019;Dewi Kusuma;Laki-laki;19/08/1979;Reguler
N-16020;Tono Pratama;M;16/07/1985;Prioritas
N-16021;Rizal Santoso;P;26/05/2000;
N-16022;Rizal Lestari;Laki-laki;24/03/1995;prio
N-16023;Maya Saputra;L;13/02/1964;Private
N-16024;Gita Kusuma;Laki-laki;25/05/1980;RETAIL
N-16025;Hadi Maharani;Wanita;20/12/1966;
N-16026;Nanda Santoso;Pria;17/06/1991;Private
N-16027;Sari Maharani;;13/02/1978;prio
N-16028;Nanda Santoso;P;09/06/1992;Prioritas
N-16029;Hadi Maharani;Wanita;28/05/1993;Reguler
N-16030;Vina Hidayat;Laki-laki;06/12/2003;Private
N-16031;Kartika Utami;M;04/02/1985;Prioritas
N-16032;Budi Pratama;L;08/06/1999;prio
N-16033;Nanda Hakim;;24/01/1999;Reguler
N-16034;Indah Wijaya;Wanita;05/09/1972;
N-16035;Maya Santoso;M;31/02/1999;prio
N-16036;Zaki Maharani;L;14/12/2001;prio
N-16037;Yuni Hidayat;Wanita;12/03/1978;RETAIL
N-16038;Lutfi Hidayat;Female;27/03/1982;Reguler
N-16039;Citra Setiawan;Laki-laki;01/10/1999;Reguler
N-16040;Gita Permata;Female;31/02/1999;prio
