nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-20001;Vina Wijaya;L;20/12/1981;Prioritas
N-20002;Eka Setiawan;P;19/10/1967;Private
N-20003;Nanda Saputra;L;14/11/1980;Private
N-20004;Umi Saputra;Laki-laki;20/08/1997;Prioritas
N-20005;Oki Hakim;Female;31/07/1960;Prioritas
N-20006;Yuni Maharani;Pria;26/04/1979;RETAIL
N-20007;Dewi Wijaya;Wanita;09/11/1990;Private
N-20008;Indah Saputra;;16/12/1993;Reguler
N-20009;Sari Santoso;Pria;29/03/1966;Reguler
N-20010;Wawan Pratama;Female;19/11/1980;Reguler
N-20011;Maya Santoso;;23/09/1992;Prioritas
N-20012;Lutfi Hidayat;Laki-laki;28/05/1966;Private
N-20013;Vina Lestari;Laki-laki;15/01/1994;RETAIL
N-20014;Vina Setiawan;Laki-laki;06/01/1965;Prioritas
N-20015;Budi Hidayat;Wanita;05/12/1978;Private
N-20016;Yuni Hidayat;Laki-laki;30/06/1995;
N-20017;Oki Lestari;Female;28/07/1983;
N-20018;Tono Maharani;Wanita;29/05/1972;Private
N-20019;Putri Wijaya;L;17/09/1973;
N-20020;Fajar Utami;Wanita;09/07/1994;prio
N-20021;Umi Kusuma;Female;11/01/1961;
N-20022;Zaki Wijaya;Female;08/07/1990;Reguler
N-20023;Joko Maharani;M;18/08/1983;Private
N-20024;Fajar Permata;P;10/10/1986;
N-20025;Rizal Hakim;Laki-laki;29/06/1974;Private
N-20026;Rizal Saputra;Pria;13/01/1970;RETAIL
N-20027;Joko Pratama;L;24/01/1967;Reguler
N-20028;Zaki Kusuma;P;13/04/1971;Prioritas
N-20029;Wawan Kusuma;M;17/12/1997;Prioritas
N-20030;Sari Setiawan;Laki-laki;18/10/1995;
N-20031;Vina Hidayat;;03/07/2000;Reguler
N-20032;Hadi Pratama;P;23/08/1980;Private
N-20033;Hadi Saputra;P;13/04/1965;Prioritas
N-20034;Citra Saputra;Pria;31/02/1999;Prioritas
N-20035;Indah Utami;;14/11/1971;
N-20036;Tono Hakim;;07/06/2002;prio
N-20037;Gita Wijaya;P;14/10/1991;prio
N-20038;Nanda Kusuma;L;29/10/1968;Reguler
N-20039;Maya Setiawan;Pria;20/10/1969;Prioritas
N-20040;Gita Pratama;;17/06/1976;RETAIL
N-20041;Oki Pratama;P;13/10/1968;Reguler
N-20042;Vina Permata;L;16/03/1981;Prioritas
N-20043;Nanda Kusuma;;24/12/1995;Reguler
N-20044;Fajar Maharani;L;17/10/1983;prio
N-20045;Joko Maharani;;14/08/1986;Prioritas
N-20046;Budi Hakim;L;16/02/1965;Reguler
N-20047;Tono Kusuma;M;31/02/1999;Private
N-20048;Citra Lestari;P;06/02/1981;prio
N-20049;Dewi Hakim;Laki-laki;26/07/1963;Private
